Categories,ProductName,Price,Ingredients,NutritionalFacts,Illness
Beverages,BlueSpotCornSoyBeanDrink  100-ml,28,"Filtered Water, Soya Bean, Sugar, Artificial Corn Flavour and Artificial Food Colour (E102 &E110)","Calories(37), TotalFat(0.9g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0g), TCarbs(6.0g), DietFbr(0g), Tsugar(3.4g), Protein(1.3g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)",Diabetes
Beverages,BlueSpotHoneyDewSoyBeanDrink 100-ml,28,"Filtered Water, Soya Bean, Sugar, Artificial Honeydew Flavour and Artificial Food Colour (E102 &E133)","Calories(37), TotalFat(0.9g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0g), TCarbs(6.0g), DietFbr(0g), Tsugar(3.4g), Protein(1.3g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)",Diabetes
Beverages,BlueSpotChocolateSoyBeanDrink 100-ml,28,"Filtered Water, Soya Bean, Sugar, Artificial Chocolate Flavour and Artificial Food Colour (E150d)","Calories(43), TotalFat(0.5g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0g), TCarbs(8.4g), DietFbr(0g), Tsugar(4.2g), Protein(1.1g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)",Diabetes
Beverages,BlueSpotOriginalSoyBeanDrink 100-ml,28,"Filtered Water, Soya Bean, Sugar, Artificial Pandan Flavouring.","Calories(43), TotalFat(0.9g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0g), TCarbs(6.0g), DietFbr(0g), Tsugar(3.4g), Protein(1.3g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)",Diabetes
Beverages,DevonDaleAustrallianDairyFullCreamPureMilk 1-Liter,116,Full Cream Milk,"Calories(158), TotalFat(8.5g), SatFat(5.8g), TransFat(0.5g), Cholesterol(0g), Sodium(0.113g), TCarbs(12.0g), DietFbr(0g), Tsugar(12.0g), Protein(8.3g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)","Hypertension, Diabetes"
Beverages,RedBullSupremeEnergyDrink 150-ml,36,"Water, Sucrose, Citric Acid (Acidity Regulator), Taurine,  Sodium Bicarbonate (Artificial flavor), Inositol, Cholinne Bitartrate, Lysine, Sodium Benzoate (Preservative), Nicotinamide, Tartrazine (Color), Pyridozine Hydrochloride (VitaminB6), Cyanocobatamin(vitaminB12)","Calories(110), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.17g), TCarbs(26g), DietFbr(0g), Tsugar(24g), Protein(1g), VitB12(40%), VitB6(60%), Niacin(100%)","Hypertension, Diabetes"
Beverages,B'lueVitaBoostOrangeFlavor 500-ml,39,"Water, Sugar, Acidity Regulators (Citric Acid, Glacial Acetic Acid, DL-MalicAcid), Natural and Nature Identical Flavours, VitaminC (Sodium Ascorbic, Ascorbic Acid), Vitamin Premix (sweetener (Sucralose), Vitamin B3, Disodium EDTA, Vitamin B6, Vitamin B12)","Calories(40), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.17g), TCarbs(3g), DietFbr(0g), Tsugar(24g), Protein(0g), VitC(30%), VitB3(15%), VitB6(15%), VitB12(15%)","Hypertension, Diabetes"
Beverages,B'lueVitaBoostCalamansiFlavor 500-ml,39,"Water, Sugar, Acidity Regulators (Citric Acid, Glacial Acetic Acid, DL-MalicAcid), Natural and Nature Identical Flavours, VitaminC (Sodium Ascorbic, Ascorbic Acid), Vitamin Premix (sweetener (Sucralose), Vitamin B3, Disodium EDTA, Vitamin B6, Vitamin B12)","Calories(40), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.17g), TCarbs(3g), DietFbr(0g), Tsugar(24g), Protein(0g), VitC(30%), VitB3(15%), VitB6(15%), VitB12(15%)","Hypertension, Diabetes"
Beverages,B'lueVitaBoostAppleFlavor 500-ml,39,"Water, Sugar, Acidity Regulators (Citric Acid, Glacial Acetic Acid, DL-MalicAcid), Natural and Nature Identical Flavours, VitaminC (Sodium Ascorbic, Ascorbic Acid), Vitamin Premix (sweetener (Sucralose), Vitamin B3, Disodium EDTA, Vitamin B6, Vitamin B12)","Calories(40), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.17g), TCarbs(3g), DietFbr(0g), Tsugar(24g), Protein(0g), VitC(30%), VitB3(15%), VitB6(15%), VitB12(15%)","Hypertension, Diabetes"
Beverages,GatoradeFierceGrapeFlavor  500-ml,45,"Water, Sugar, Dextrose, Acidity Regulators (Citric Acid, Sodium Citrate), Sodium Chloride, Natural Flavor, Monopotassium Phosphate, Artificial Colors (Allura Red, Brilliant Blue)","Calories(50), TotalFat(0g), SatFat(0g), TransFat(0g), Cholesterol(0g), Sodium(0.09g), TCarbs(12g), DietFbr(0g), Tsugar(12g), Protein(0g), Potassium(0.026g), Magnesium(0g), VitA(0%), VitC(0%), Calcium(0%), Iron(0%)","Hypertension, Diabetes"
