Categories,ProductName,Price,Ingredients,NutritionFacts,,,,,,,,,,,
Junk Foods,TortillosChzCrnSnacks 25-g,10,"Corn, Vegetable Oil (Palm Olein and/or Palm, Antioxidant (TBHQ)), Seasoning [Milk, Glucose, Syrup, Solids, Vegatable Fat (Palm), Natural and Artificial Flavors, Acidity Regulator (Disodium Phosphate), Dextrose, Hydrolyzed Vegetable Protein, Tallow, Curcumin, Artificial Color (Sunset Yellow), Anticaking Agents (Silicon Dioxide, Tricalcalcium Phosphate), Paprika Extract, Emulsifier (Tricetin), Color(Caramel), Spices, Maltodextrin, Sugar, Iodized Salt, Ferrous Sulfate and FlavorFlavor Enhancers (Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate)  ","Calories(160), TotalFat(8g), SatFat(2g), TransFat(0g), Cholesterol(0mg), Sodium(200mg), TCarbs(19g), DietFbr(2g),  Tsugar(2g), Protein(2g), VitA(0%),  VitC(0%),Calcium(4%), Iron(35%)",,,,,,,,,,,
Junk Foods,TortillosChzCrnSnacks 100-g,28,"Corn, Vegetable Oil (Palm Olein and/or Palm, Antioxidant (TBHQ)), Seasoning [Milk, Glucose, Syrup, Solids, Vegatable Fat (Palm), Natural and Artificial Flavors, Acidity Regulator (Disodium Phosphate), Dextrose, Hydrolyzed Vegetable Protein, Tallow, Curcumin, Artificial Color (Sunset Yellow), Anticaking Agents (Silicon Dioxide, Tricalcalcium Phosphate), Paprika Extract, Emulsifier (Tricetin), Color(Caramel), Spices, Maltodextrin, Sugar, Iodized Salt, Ferrous Sulfate and FlavorFlavor Enhancers (Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate)  ","Calories(160), TotalFat(8g), SatFat(2g), TransFat(0g), Cholesterol(0mg), Sodium(200mg), TCarbs(19g), DietFbr(2g),  Tsugar(2g), Protein(2g), VitA(0%),  VitC(0%),Calcium(4%), Iron(35%)",,,,,,,,,,,
Junk Foods,TortillosBBQCrnSnacks 100-g,28,"Corn, Vegetavle Oil, [Palm , Antioxidant (TBHQ)}, Seasoning (yeast, Starch, Spices, Hydrolized Vegetable Protein, Natural and Artificial Flavors, Medium Chain Triglycerides, Vegetable Powder, Dairy Solids, Anticaking Agent (Silicon Dioxide, Tricalcium Phosphate), Acidity Regulator (Citric Acid), Colors (Caramel, Paprika Extract), Flavor Enhancer (Disodium 5'-Ribonucleotides), Humectant (Disodium Phosphate), Vegetable Oil (Palm Kernel), Antioxidant (Carrier (Phropylene Glycol), TBHQ, Ascorbic Acid ], Sweetener ( Acesulfame Potassium)], Maltodextrin, Sugar, Iodized Salt, Flavor Enhancers (Monosodium Glutamate, Dosodium Inosinate, Disodium Guanylate) and Ferrous Sulfate","Calories(160), TotalFat(9g), SatFat(4g), TransFat(0g), Cholesterol(0mg), Sodium(120mg), TCarbs(19g), DietFbr(0.5g),  Tsugar(2g), Protein(2g), VitA(0%),  VitC(0%), Calcium(0%), Iron(35%)",,,,,,,,,,,
Junk Foods,TortillosChilliCrnSnacks 100-g,28,"Corn, Vegetable Oil (Palm Olein and/or Palm, Antioxidant (TBHQ)), Seasoning [Artificial and Natural Flavors, Hydrolyzed Vegetable Protein, Tomato Powder, Anticaking  Agents (Silicon Dioxide, Tricalcalcium Phosphate), Rusk Powder With Wheat), Maltodextrin Whey, Cheese Powder, Yeast, Sucrose, Glucose, Acidity Regulatorrs (sodium Phosphate, Citric Acid, Lactic Acid), Vegetable Oil (Palm, Repessed, Canola, Sunflower, Soya), Stabilizer (Sodium, Octenyl Succinated Stach), Color (Caramel), Vitamin B1,] Sugar, Spices, Iodized Salt, Ferrous Sulfate, Vegetable Oil (Palm Olein) and Flavor Enhancers (Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate) ","Calories(160), TotalFat(9g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(70mg), TCarbs(21), DietFbr(2),  Tsugar(2), Protein(1%), VitA(0%),  VitC(0%), Calcium(4%), Iron(35%)",,,,,,,,,,,
Junk Foods,TortillosChilliCrnSnacks 160-g,39,"Corn, Vegetable Oil (Palm Olein and/or Palm, Antioxidant (TBHQ)), Seasoning [Artificial and Natural Flavors, Hydrolyzed Vegetable Protein, Tomato Powder, Anticaking  Agents (Silicon Dioxide, Tricalcalcium Phosphate), Rusk Powder With Wheat), Maltodextrin Whey, Cheese Powder, Yeast, Sucrose, Glucose, Acidity Regulatorrs (sodium Phosphate, Citric Acid, Lactic Acid), Vegetable Oil (Palm, Repessed, Canola, Sunflower, Soya), Stabilizer (Sodium, Octenyl Succinated Stach), Color (Caramel), Vitamin B1,] Sugar, Spices, Iodized Salt, Ferrous Sulfate, Vegetable Oil (Palm Olein) and Flavor Enhancers (Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate) ","Calories(160), TotalFat(9g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(70mg), TCarbs(21), DietFbr(2),  Tsugar(2), Protein(1%), VitA(0%),  VitC(0%), Calcium(4%), Iron(35%)",,,,,,,,,,,
Junk Foods,CrissCrossSweetCorn 20-g,7,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Sweet Com Powder, Sugar, Dextrose Powder, Iodized Salt, Onion, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i) and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Maltodextrin, Monosodium Glutamate (E621) and Disodium 5-Ribonucleotide (E635) as Flavor Enhancer, Artificial Sweet Corn Flavor, Sucralose as Artificial Sweetener, Tartrazine (El 02) as Artificial food Color, Contains: Wheat and Soy","Calories(100), TotalFat(5g), SatFat(0g), TransFat(0g), Cholesterol(0mg), Sodium(190mg), TCarbs(13g), DietFbr(0g),  Tsugar(2g), Protein(1g), VitA(0%),  VitC(0%), Calcium(2%), Iron(2%)",,,,,,,,,,,
Junk Foods,CrissCrossCheesySourCream&Onion 20-g,7,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Whey Powder, Maltodextrin, Spices (Onion Powder, Garlic Powder), Iodized Salt, Skim Milk Powder, Sugar, Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i), and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Citric Acid (E330) annd Lactic Acid (E270) as Acidulant, Disodium 5'-Ribonucleotide (E635), as Flavor Enhancer, Artificial Soy Cream Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102), as Artificial Food Color ","Calories(100), TotalFat(5g), SatFat(2.5g), TransFat(0g), Cholesterol(0mg), Sodium(250mg), TCarbs(13g), DietFbr(0g),  Tsugar(1g), Protein(3g), VitA(0%),  VitC(0%), Calcium(2%), Iron(4%)",,,,,,,,,,,
Junk Foods,CrissCrossClassicPotato 20-g,7,"Wheat Flour, Vegetable Oil, Dehydrated Potato, Tapioca Starch, Cornstarch, Sugar, Onion, Iodized Salt Hydrolyzed Vegetable Protein, Sodium Bicarbonate (E500), Monocalcium Phosphate (E341i), and Sodium Acid Pyrophosphate (E450) as Leavening Agents, Skim Milk Powder, Monosodium Glutamate (E621) as Flavor Enhancer, Maltodextrin, Artificial Potato Flavor, Sucralose as Artificial Sweetener, Tartrazine (E102), Artificial Food Color and Disodium 5'-Ribonucleotide (E635) as Flavor Enhance, Contains Corn, Soy, and Milk","Calories(100), TotalFat(5g), SatFat(3.5g), TransFat(0g), Cholesterol(0mg), Sodium(170mg), TCarbs(13g), DietFbr(0g),  Tsugar(1g), Protein(1g), VitA(0%),  VitC(0%), Calcium(2%), Iron(2%)",,,,,,,,,,,
Junk Foods,CrissCrossCrmyChz 20-g,7,"Wheat Flour, Vegetable Oil (Palm Olein), Dehydrated Potato, Starch, Cheese Powder [Whey Powder, Cheese, Sunflower Oil, Disodium Phosphate (E339iii) as Stabilizer, Sunset Yellow (E110) as adtificial color, Lactic Acid (E270) as acidulant], Sugar, Spices, Iodized Salt, Hydrolyzed Vegetable Protein [Defatted Soybean, Maltodexitrin, Monosodium Glutamate (E6210) and Disodium 5'-Ribonucleotides (E635) as flavor enchancers, Caramel III (e150c) as natural color, Tricalcium Phosphate (E341iii)  as anticaking agent], Leavening Agents {Sodium Bicarbonate (E500ii), Monocalcium Phosphate (E341i), Sodium Acid Pyrophosphate (E330) as Tartrazine (E102) as artificial color, Citric Acid (E330) as acidulant, Artificial Flavor Sucralose (E955) as sweetener ","Calories(150), TotalFat(8g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(290mg), TCarbs(19g), DietFbr(0g),  Tsugar(2g), Protein(2g), Calcium(35.1%), Iron(0.034%)",,,,,,,,,,,
Junk Foods,CrissCrossCrmyChz 20-g,7,"Wheat Flour, Vegetable Oil (Palm Olein), Dehydrated Potato, Starch, Cheese Powder [Whey Powder, Cheese, Sunflower Oil, Disodium Phosphate (E339iii) as Stabilizer, Sunset Yellow (E110) as adtificial color, Lactic Acid (E270) as acidulant], Sugar, Spices, Iodized Salt, Hydrolyzed Vegetable Protein [Defatted Soybean, Maltodexitrin, Monosodium Glutamate (E6210) and Disodium 5'-Ribonucleotides (E635) as flavor enchancers, Caramel III (e150c) as natural color, Tricalcium Phosphate (E341iii)  as anticaking agent], Leavening Agents {Sodium Bicarbonate (E500ii), Monocalcium Phosphate (E341i), Sodium Acid Pyrophosphate (E330) as Tartrazine (E102) as artificial color, Citric Acid (E330) as acidulant, Artificial Flavor Sucralose (E955) as sweetener ","Calories(150), TotalFat(8g), SatFat(4.5g), TransFat(0g), Cholesterol(0mg), Sodium(290mg), TCarbs(19g), DietFbr(0g),  Tsugar(2g), Protein(2g), Calcium(35.1%), Iron(0.034%)",,,,,,,,,,,
